Date, Open , High , Low , Last ,Ask High,Bid Low
01-07-04,1.7176,1.7188,1.7133,1.7148,,1.7133
02-07-04,1.7146,1.7185,1.7108,1.7113,,1.7108
05-07-04,1.7114,1.7185,1.7108,1.7155,,1.7108
06-07-04,1.7166,1.7195,1.7125,1.7157,,1.7125
07-07-04,1.7155,1.7162,1.7055,1.7075,,1.7055
08-07-04,1.7068,1.7085,1.7048,1.707,,1.7048
09-07-04,1.7063,1.7077,1.7003,1.7016,,1.7003
12-07-04,1.7003,1.7011,1.6945,1.6956,,1.6945
13-07-04,1.6972,1.704,1.697,1.7003,,1.697
14-07-04,1.699,1.704,1.699,1.7023,,1.699
15-07-04,1.7026,1.7084,1.7024,1.7071,,1.7024
16-07-04,1.7068,1.7093,1.6995,1.6996,,1.6995
19-07-04,1.6995,1.7018,1.6973,1.6995,,1.6973
20-07-04,1.6995,1.7065,1.6993,1.7055,,1.6993
21-07-04,1.705,1.7162,1.7042,1.714,,1.7042
22-07-04,1.714,1.7196,1.713,1.7164,,1.713
23-07-04,1.7157,1.7263,1.7157,1.7228,,1.7157
26-07-04,1.7235,1.7236,1.7189,1.7227,,1.7189
27-07-04,1.7225,1.7259,1.7179,1.725,,1.7179
28-07-04,1.7246,1.7292,1.7218,1.7282,,1.7218
29-07-04,1.7268,1.7289,1.7234,1.7249,,1.7234
30-07-04,1.7239,1.7246,1.7179,1.7179,,1.7179
02-08-04,1.7189,1.7196,1.7148,1.716,,1.7148
03-08-04,1.7157,1.7219,1.7149,1.7188,,1.7149
04-08-04,1.7187,1.7252,1.7176,1.7224,,1.7176
05-08-04,1.7223,1.7241,1.7198,1.7237,,1.7198
06-08-04,1.7237,1.7244,1.7131,1.7175,,1.7131
09-08-04,1.7175,1.7179,1.7139,1.7158,,1.7139
10-08-04,1.7172,1.7172,1.7105,1.7146,,1.7105
11-08-04,1.7144,1.717,1.711,1.7121,,1.711
12-08-04,1.712,1.7162,1.7093,1.715,,1.7093
13-08-04,1.7145,1.7229,1.7125,1.7133,,1.7125
16-08-04,1.7122,1.7186,1.7119,1.7135,,1.7119
17-08-04,1.7137,1.7163,1.7115,1.7125,,1.7115
18-08-04,1.7126,1.715,1.7105,1.7115,,1.7105
19-08-04,1.7125,1.7136,1.7078,1.709,,1.7078
20-08-04,1.7088,1.7107,1.7054,1.7073,,1.7054
23-08-04,1.7065,1.7117,1.704,1.7112,,1.704
24-08-04,1.7099,1.7127,1.7085,1.712,,1.7085
25-08-04,1.7121,1.7141,1.7095,1.7124,,1.7095
26-08-04,1.7113,1.7161,1.7105,1.7132,,1.7105
27-08-04,1.7127,1.7132,1.7082,1.7127,,1.7082
30-08-04,1.7104,1.7159,1.7099,1.7135,,1.7099
31-08-04,1.7139,1.7148,1.7087,1.7105,,1.7087
01-09-04,1.7105,1.711,1.7048,1.7061,,1.7048
02-09-04,1.7061,1.7074,1.6995,1.7031,,1.6995
03-09-04,1.7025,1.7058,1.7,1.7037,,1.7
06-09-04,1.7045,1.7058,1.7027,1.7055,,1.7027
07-09-04,1.7045,1.705,1.6979,1.699,,1.6979
08-09-04,1.699,1.7007,1.6958,1.6975,,1.6958
09-09-04,1.697,1.7021,1.6948,1.6995,,1.6948
10-09-04,1.698,1.7027,1.6961,1.6975,,1.6961
13-09-04,1.6967,1.6997,1.6954,1.6966,,1.6954
14-09-04,1.6962,1.6975,1.6885,1.6902,,1.6885
15-09-04,1.6905,1.6919,1.6855,1.6918,,1.6855
16-09-04,1.6908,1.6917,1.6876,1.6882,,1.6876
17-09-04,1.6882,1.6925,1.6866,1.6898,,1.6866
20-09-04,1.69,1.691,1.6885,1.6899,,1.6885
21-09-04,1.6894,1.6935,1.688,1.6889,,1.688
22-09-04,1.6885,1.6945,1.6867,1.6937,,1.6867
23-09-04,1.6945,1.6979,1.6911,1.6941,,1.6911
24-09-04,1.6945,1.6945,1.6887,1.69,,1.6887
27-09-04,1.691,1.6945,1.6883,1.6923,,1.6883
28-09-04,1.6918,1.6973,1.6916,1.6962,,1.6916
29-09-04,1.6954,1.6965,1.6901,1.6906,,1.6901
30-09-04,1.6908,1.6927,1.6827,1.6835,,1.6827
01-10-04,1.6839,1.6866,1.6793,1.6815,,1.6793
04-10-04,1.6815,1.6876,1.6815,1.6865,,1.6815
05-10-04,1.6868,1.687,1.6831,1.685,,1.6831
06-10-04,1.685,1.6928,1.6845,1.6913,,1.6845
07-10-04,1.691,1.692,1.6873,1.6901,,1.6873
08-10-04,1.6895,1.6897,1.6794,1.6803,,1.6794
11-10-04,1.681,1.684,1.6796,1.6805,,1.6796
12-10-04,1.6804,1.6859,1.6802,1.6842,,1.6802
13-10-04,1.6842,1.6875,1.682,1.6838,,1.682
14-10-04,1.6838,1.6856,1.6808,1.6835,,1.6808
15-10-04,1.6829,1.6834,1.6763,1.6784,,1.6763
18-10-04,1.6775,1.6796,1.6765,1.678,,1.6765
19-10-04,1.6785,1.6819,1.6728,1.6733,,1.6728
20-10-04,1.6738,1.6748,1.6703,1.6723,,1.6703
21-10-04,1.6725,1.6744,1.6704,1.6731,,1.6704
22-10-04,1.6727,1.6743,1.666,1.666,,1.666
25-10-04,1.6658,1.6668,1.6599,1.6627,,1.6599
26-10-04,1.6622,1.6658,1.661,1.6627,,1.661
27-10-04,1.6634,1.6675,1.6608,1.6635,,1.6608
28-10-04,1.664,1.6663,1.661,1.6629,,1.661
29-10-04,1.6629,1.6654,1.661,1.6623,,1.661
01-11-04,1.662,1.6677,1.661,1.6668,,1.661
02-11-04,1.6671,1.6689,1.663,1.6661,,1.663
03-11-04,1.6668,1.6696,1.6642,1.6652,,1.6642
04-11-04,1.6652,1.6652,1.6531,1.6557,,1.6531
05-11-04,1.6554,1.6618,1.652,1.6534,,1.652
08-11-04,1.6536,1.6546,1.6488,1.6496,,1.6488
09-11-04,1.6496,1.654,1.6493,1.6539,,1.6493
10-11-04,1.6537,1.6604,1.6525,1.6573,,1.6525
11-11-04,1.6584,1.6594,1.6553,1.6563,,1.6553
12-11-04,1.6552,1.6563,1.6503,1.6503,,1.6503
15-11-04,1.6505,1.6528,1.6488,1.6509,,1.6488
16-11-04,1.6506,1.6537,1.647,1.65,,1.647
17-11-04,1.6493,1.651,1.6446,1.6455,,1.6446
18-11-04,1.646,1.656,1.6435,1.6535,,1.6435
19-11-04,1.6527,1.655,1.6443,1.6458,,1.6443
22-11-04,1.645,1.6475,1.6428,1.6444,,1.6428
23-11-04,1.6444,1.6489,1.641,1.6427,,1.641
24-11-04,1.6425,1.6443,1.6398,1.6403,,1.6398
25-11-04,1.6413,1.6423,1.6382,1.6398,,1.6382
26-11-04,1.6396,1.6438,1.6348,1.636,,1.6348
29-11-04,1.6365,1.6418,1.6357,1.6371,,1.6357
30-11-04,1.6369,1.6425,1.634,1.6374,,1.634
01-12-04,1.6369,1.6375,1.6282,1.6309,,1.6282
02-12-04,1.6309,1.6413,1.6295,1.639,,1.6295
03-12-04,1.6388,1.6459,1.6328,1.6343,,1.6328
06-12-04,1.6321,1.6395,1.6321,1.6392,,1.6321
07-12-04,1.639,1.6391,1.6329,1.6358,,1.6329
08-12-04,1.636,1.6508,1.6346,1.6453,,1.6346
09-12-04,1.6448,1.6509,1.6428,1.647,,1.6428
10-12-04,1.6465,1.661,1.645,1.6537,,1.645
13-12-04,1.654,1.6553,1.645,1.6465,,1.645
14-12-04,1.646,1.6513,1.6432,1.6508,,1.6432
15-12-04,1.6493,1.6517,1.6365,1.6387,,1.6365
16-12-04,1.6387,1.6481,1.638,1.648,,1.638
17-12-04,1.6475,1.6492,1.6434,1.645,,1.6434
20-12-04,1.6439,1.6472,1.638,1.6407,,1.638
21-12-04,1.6412,1.6428,1.6387,1.64,,1.6387
22-12-04,1.6411,1.642,1.6381,1.6397,,1.6381
23-12-04,1.6394,1.6423,1.6363,1.6373,,1.6363
24-12-04,1.6385,1.6415,1.6362,1.6397,,1.6362
27-12-04,1.6393,1.6455,1.6371,1.6373,,1.6371
28-12-04,1.6378,1.6403,1.632,1.6352,,1.632
